"Timestamp","What is your gender?","What year did you complete you SPM?","  Which state did you complete your SPM in?  ","  What type of secondary school did you attend?  ","Which stream did you take during SPM? (Select up to 2)","What was your SPM results?","Which subjects did you enjoy most during SPM? (Select up to 3)  ","Which subjects did you find most difficult during SPM? (Select up to 3)   ","How would you describe your personality?  ","Which type of tasks do you enjoy most? (Select up to 2)","How would you describe your characteristics? (Select up to 3)","How comfortable are you with public speaking or presentations?  ","Which pre-university program or course did you take after SPM?  ","What major / field of study did you pursue / currently pursuing?  ","What were the main reasons for choosing that major? (Select up to 3)  ","Would you say your field of study is related to your stream you were in for SPM?","How satisfied are you with your current field of study?  ","What advice would you give to current SPM students choosing their major?  "
"2025/10/30 1:38:02 AM GMT+8","Male","SPM 2020","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","1 - 2 As (A-, A, A+)","Sejarah, bahasa melayu, bahasa inggeris","accounting, ekonomi, perniagaan","Ambivert","Helping and communicating with people;Experimenting and researching","Adventurous;Outgoing;Persuasive","","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Job opportunities;Salary potential;Family expectation","Yes","3","choose wisely"
"2025/10/30 1:48:22 AM GMT+8","Female","SPM 2021","Kedah","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Maths ","Chemistry and Addmaths","Extrovert","Solving logical or mathematical problems;Experimenting and researching","Adventurous;Outgoing;Analytical","","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Family expectation","No","2","Take your time and choose wisely which courses to pursue."
"2025/10/30 1:48:26 AM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Math, Add Math, History","Bahasa Melayu, English, Rekacipta","Introvert","Solving logical or mathematical problems;Creating or designing things","Analytical;Observant;Resiliant","","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential;Family expectation","No","2","Make pros and cons list"
"2025/10/30 2:20:01 AM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Ambivert","Creating or designing things;Writing or storytelling","Creative","","A-Levels","Humanities & Social Sciences (Philosophy, Language etc)","Personal interest & Passion","No","3","Listen to your heart"
"2025/10/30 3:24:56 AM GMT+8","Male","SPM 2019 or earlier","Johor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Ambivert","Solving logical or mathematical problems;Creating or designing things;Writing or storytelling;Analysing and interpreting data","Creative;Analytical;Observant","","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential","No","4","Pick the one you actually passionate "
"2025/10/30 4:24:57 AM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Solving logical or mathematical problems","Adventurous;Outgoing;Compassionate","","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Academic strength in SPM subjects;Job opportunities;Salary potential","Yes","3","Choose based on your interests, no matter how hard the course is,  you'll succeed with enough passion and willpower"
"2025/10/30 6:12:05 AM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","1 - 2 As (A-, A, A+)","Mathematical Subjects;Technology & Computing Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Creating or designing things","Creative;Observant;Reserved","","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","No","4","dont pursue in your hobby, it doesn't pay the bills most of the time."
"2025/10/30 7:38:29 AM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Ambivert","Helping and communicating with people;Writing or storytelling","Creative;Persuasive;Compassionate","","Foundation","Law & Legal Studies","Personal interest & Passion","No","5","Its okay to not do what you did in high school. The steams offered in high school are limited. Just make sure you choose what YOU want according to your passion. If you dont like math, dont go for science stream."
"2025/10/30 9:20:02 AM GMT+8","Male","SPM 2023","Negeri Sembilan","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Experimenting and researching","Analytical;Strategic;Observant","","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential;Family expectation","No","4","Choose what you like to do. Or maybe if don't have one, follow what your parent want."
"2025/10/30 10:18:32 AM GMT+8","Male","SPM 2022","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects","Extrovert","Creating or designing things;Helping and communicating with people","Creative;Adventurous;Outgoing;Persuasive;Compassionate;Innovative","","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;University / Scolarship offer;Salary potential","No","4","Be patient and calm. Do not rush into the next step of your life. Make sure its a decision taken wisely "
